"code_hex","spec_name","table31_write","table31_read","table31_data_bytes","gui_status","gui_name","gui_preferred_protocol","gui_decode_format","bridge_transport_status","device_model_status","device_model_name","device_model_note","product_binding_status","validation_status","notes"
"0x19","CAPABILITY","N/A","Read Byte","1","Preset","CAPABILITY","ReadByte","Capability","TransportReady","Implemented","CAPABILITY","Config shadow","ImplementedBehavior","Documented","0x80 when PEC enabled, 0x00 otherwise"
"0x1A","QUERY","N/A","Block Write-Read Process Call","1","Preset","QUERY","BlockWriteReadProcessCall","QueryResult","TransportReady","Implemented","QUERY","Dispatch map","ImplementedBehavior","Documented","Returns a 1-byte PMBus query capability payload for the requested command byte"
"0x1B","SMBALERT_MASK","Write Word","Block Write-Read Process Call","2","Preset","SMBALERT_MASK","BlockWriteReadProcessCall","RawWord","TransportReady","Implemented","SMBALERT_MASK","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","16-bit SMBALERT mask shadow; read path returns block payload [count=2][LSB][MSB]"
"0x20","VOUT_MODE","Write Byte","Read Byte","1","Preset","VOUT_MODE","ReadByte","RawByte","TransportReady","Implemented","VOUT_MODE","Config shadow","ImplementedBehavior","Documented","PMBus Table 2 VOUT_MODE byte: validates absolute/relative plus ULINEAR16/VID/Direct/IEEE selector semantics."
"0x21","VOUT_COMMAND","Write Word","Read Word","2","Preset","VOUT_COMMAND","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_COMMAND","Config shadow","ImplementedBehavior","Documented","VOUT_MODE-aware target voltage word: ULINEAR16/Direct/IEEE update internal mV shadow; VID keeps right-justified raw code until a product VID table is assigned."
"0x22","VOUT_TRIM","Write Word","Read Word","2","Preset","VOUT_TRIM","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_TRIM","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 trim shadow"
"0x23","VOUT_CAL_OFFSET","Write Word","Read Word","2","Preset","VOUT_CAL_OFFSET","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_CAL_OFFSET","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 calibration offset shadow"
"0x24","VOUT_MAX","Write Word","Read Word","2","Preset","VOUT_MAX","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_MAX","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 maximum output-voltage shadow"
"0x25","VOUT_MARGIN_HIGH","Write Word","Read Word","2","Preset","VOUT_MARGIN_HIGH","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_MARGIN_HIGH","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 high-margin voltage shadow"
"0x26","VOUT_MARGIN_LOW","Write Word","Read Word","2","Preset","VOUT_MARGIN_LOW","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_MARGIN_LOW","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 low-margin voltage shadow"
"0x27","VOUT_TRANSITION_RATE","Write Word","Read Word","2","Preset","VOUT_TRANSITION_RATE","ReadWord","Linear11","TransportReady","Implemented","VOUT_TRANSITION_RATE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 transition-rate shadow"
"0x28","VOUT_DROOP","Write Word","Read Word","2","Preset","VOUT_DROOP","ReadWord","Linear11","TransportReady","Implemented","VOUT_DROOP","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 droop shadow"
"0x29","VOUT_SCALE_LOOP","Write Word","Read Word","2","Preset","VOUT_SCALE_LOOP","ReadWord","Linear11","TransportReady","Implemented","VOUT_SCALE_LOOP","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 loop-scale shadow"
"0x2A","VOUT_SCALE_MONITOR","Write Word","Read Word","2","Preset","VOUT_SCALE_MONITOR","ReadWord","Linear11","TransportReady","Implemented","VOUT_SCALE_MONITOR","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 monitor-scale shadow"
"0x2B","VOUT_MIN","Write Word","Read Word","2","Preset","VOUT_MIN","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_MIN","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 minimum output-voltage shadow"
"0x30","COEFFICIENTS","N/A","Block Write-Read Process Call","5","Preset","COEFFICIENTS","BlockWriteReadProcessCall","RawBlock","TransportReady","Implemented","COEFFICIENTS","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Returns fixed 5-byte DIRECT coefficient placeholder; TODO replace if DIRECT-format commands are exposed"
"0x31","POUT_MAX","Write Word","Read Word","2","Preset","POUT_MAX","ReadWord","Linear11","TransportReady","Implemented","POUT_MAX","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 output-power max shadow; TODO bind to CRPS rating/control policy"
"0x32","MAX_DUTY","Write Word","Read Word","2","Preset","MAX_DUTY","ReadWord","Linear11","TransportReady","Implemented","MAX_DUTY","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 duty-cycle max shadow; TODO bind to PWM/control-loop limit"
"0x33","FREQUENCY_SWITCH","Write Word","Read Word","2","Preset","FREQUENCY_SWITCH","ReadWord","Linear11","TransportReady","Implemented","FREQUENCY_SWITCH","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 switching-frequency shadow; TODO bind to power-stage control"
"0x34","POWER_MODE","Write Byte","Read Byte","1","Preset","POWER_MODE","ReadByte","RawByte","TransportReady","Implemented","POWER_MODE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Power-mode byte shadow; TODO bind to actual power-mode state machine"
"0x35","VIN_ON","Write Word","Read Word","2","Preset","VIN_ON","ReadWord","Linear11","TransportReady","Implemented","VIN_ON","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 VIN-on threshold shadow; TODO bind to startup policy"
"0x36","VIN_OFF","Write Word","Read Word","2","Preset","VIN_OFF","ReadWord","Linear11","TransportReady","Implemented","VIN_OFF","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 VIN-off threshold shadow; TODO bind to shutdown policy"
"0x37","INTERLEAVE","Write Word","Read Word","2","Preset","INTERLEAVE","ReadWord","RawWord","TransportReady","Implemented","INTERLEAVE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","16-bit interleave shadow; TODO bind to phase/interleave implementation if used"
"0x38","IOUT_CAL_GAIN","Write Word","Read Word","2","Preset","IOUT_CAL_GAIN","ReadWord","Linear11","TransportReady","Implemented","IOUT_CAL_GAIN","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 current-sense gain calibration shadow; TODO bind to calibration data"
"0x39","IOUT_CAL_OFFSET","Write Word","Read Word","2","Preset","IOUT_CAL_OFFSET","ReadWord","Linear11","TransportReady","Implemented","IOUT_CAL_OFFSET","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 current-sense offset calibration shadow; TODO bind to calibration data"
"0x3A","FAN_CONFIG_1_2","Write Byte","Read Byte","1","Preset","FAN_CONFIG_1_2","ReadByte","RawByte","TransportReady","Implemented","FAN_CONFIG_1_2","Config shadow","ImplementedBehavior","Documented","Fan control/config byte"
"0x3B","FAN_COMMAND_1","Write Word","Read Word","2","Preset","FAN_COMMAND_1","ReadWord","RawWord","TransportReady","Implemented","FAN_COMMAND_1","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 fan 1 target; target-relative warning/fault heuristic"
"0x3C","FAN_COMMAND_2","Write Word","Read Word","2","Preset","FAN_COMMAND_2","ReadWord","RawWord","TransportReady","Implemented","FAN_COMMAND_2","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 fan 2 target; target-relative warning/fault heuristic"
"0x3D","FAN_CONFIG_3_4","Write Byte","Read Byte","1","Preset","FAN_CONFIG_3_4","ReadByte","RawByte","TransportReady","Implemented","FAN_CONFIG_3_4","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Fan 3/4 config byte shadow; currently not bound to real fan hardware"
"0x3E","FAN_COMMAND_3","Write Word","Read Word","2","Preset","FAN_COMMAND_3","ReadWord","RawWord","TransportReady","Implemented","FAN_COMMAND_3","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Fan 3 command shadow; TODO bind to real fan/PWM path if product uses fan 3"
"0x3F","FAN_COMMAND_4","Write Word","Read Word","2","Preset","FAN_COMMAND_4","ReadWord","RawWord","TransportReady","Implemented","FAN_COMMAND_4","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Fan 4 command shadow; TODO bind to real fan/PWM path if product uses fan 4"
"0x40","VOUT_OV_FAULT_LIMIT","Write Word","Read Word","2","Preset","VOUT_OV_FAULT_LIMIT","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_OV_FAULT_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","ULINEAR16 threshold; auto-sets STATUS_VOUT.VOUT_OV_FAULT"
"0x41","VOUT_OV_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","VOUT_OV_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","VOUT_OV_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x42","VOUT_OV_WARN_LIMIT","Write Word","Read Word","2","Preset","VOUT_OV_WARN_LIMIT","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_OV_WARN_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","ULINEAR16 threshold; auto-sets STATUS_VOUT.VOUT_OV_WARNING"
"0x43","VOUT_UV_WARN_LIMIT","Write Word","Read Word","2","Preset","VOUT_UV_WARN_LIMIT","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_UV_WARN_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","ULINEAR16 threshold; auto-sets STATUS_VOUT.VOUT_UV_WARNING"
"0x44","VOUT_UV_FAULT_LIMIT","Write Word","Read Word","2","Preset","VOUT_UV_FAULT_LIMIT","ReadWord","Linear16Vout","TransportReady","Implemented","VOUT_UV_FAULT_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","ULINEAR16 threshold; auto-sets STATUS_VOUT.VOUT_UV_FAULT"
"0x45","VOUT_UV_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","VOUT_UV_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","VOUT_UV_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x46","IOUT_OC_FAULT_LIMIT","Write Word","Read Word","2","Preset","IOUT_OC_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","IOUT_OC_FAULT_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_IOUT.IOUT_OC_FAULT"
"0x47","IOUT_OC_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","IOUT_OC_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","IOUT_OC_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x48","IOUT_OC_LV_FAULT_LIMIT","Write Word","Read Word","2","Preset","IOUT_OC_LV_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","IOUT_OC_LV_FAULT_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 low-voltage over-current threshold shadow; TODO bind to protection logic"
"0x49","IOUT_OC_LV_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","IOUT_OC_LV_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","IOUT_OC_LV_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x4A","IOUT_OC_WARN_LIMIT","Write Word","Read Word","2","Preset","IOUT_OC_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","IOUT_OC_WARN_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_IOUT.IOUT_OC_WARNING"
"0x4B","IOUT_UC_FAULT_LIMIT","Write Word","Read Word","2","Preset","IOUT_UC_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","IOUT_UC_FAULT_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 under-current threshold shadow; TODO bind to protection logic"
"0x4C","IOUT_UC_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","IOUT_UC_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","IOUT_UC_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x4F","OT_FAULT_LIMIT","Write Word","Read Word","2","Preset","OT_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","OT_FAULT_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_TEMPERATURE.OT_FAULT"
"0x50","OT_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","OT_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","OT_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x51","OT_WARN_LIMIT","Write Word","Read Word","2","Preset","OT_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","OT_WARN_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_TEMPERATURE.OT_WARNING"
"0x52","UT_WARN_LIMIT","Write Word","Read Word","2","Preset","UT_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","UT_WARN_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 under-temperature warning threshold shadow; TODO bind to thermal policy"
"0x53","UT_FAULT_LIMIT","Write Word","Read Word","2","Preset","UT_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","UT_FAULT_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 under-temperature fault threshold shadow; TODO bind to thermal policy"
"0x54","UT_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","UT_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","UT_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x55","VIN_OV_FAULT_LIMIT","Write Word","Read Word","2","Preset","VIN_OV_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","VIN_OV_FAULT_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_INPUT.VIN_OV_FAULT"
"0x56","VIN_OV_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","VIN_OV_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","VIN_OV_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x57","VIN_OV_WARN_LIMIT","Write Word","Read Word","2","Preset","VIN_OV_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","VIN_OV_WARN_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_INPUT.VIN_OV_WARNING"
"0x58","VIN_UV_WARN_LIMIT","Write Word","Read Word","2","Preset","VIN_UV_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","VIN_UV_WARN_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_INPUT.VIN_UV_WARNING"
"0x59","VIN_UV_FAULT_LIMIT","Write Word","Read Word","2","Preset","VIN_UV_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","VIN_UV_FAULT_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_INPUT.VIN_UV_FAULT"
"0x5A","VIN_UV_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","VIN_UV_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","VIN_UV_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x5B","IIN_OC_FAULT_LIMIT","Write Word","Read Word","2","Preset","IIN_OC_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","IIN_OC_FAULT_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_INPUT.IIN_OC_FAULT"
"0x5C","IIN_OC_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","IIN_OC_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","IIN_OC_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product shutdown/retry behavior is platform policy"
"0x5D","IIN_OC_WARN_LIMIT","Write Word","Read Word","2","Preset","IIN_OC_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","IIN_OC_WARN_LIMIT","Config shadow + Telemetry policy","ImplementedBehavior","Documented","LINEAR11 threshold; auto-sets STATUS_INPUT.IIN_OC_WARNING"
"0x5E","POWER_GOOD_ON","Write Word","Read Word","2","Preset","POWER_GOOD_ON","ReadWord","Linear16Vout","TransportReady","Implemented","POWER_GOOD_ON","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 power-good assert threshold shadow; TODO bind to PG logic"
"0x5F","POWER_GOOD_OFF","Write Word","Read Word","2","Preset","POWER_GOOD_OFF","ReadWord","Linear16Vout","TransportReady","Implemented","POWER_GOOD_OFF","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ULINEAR16 power-good deassert threshold shadow; TODO bind to PG logic"
"0x60","TON_DELAY","Write Word","Read Word","2","Preset","TON_DELAY","ReadWord","Linear11","TransportReady","Implemented","TON_DELAY","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 turn-on delay shadow; TODO bind to sequencer timing"
"0x61","TON_RISE","Write Word","Read Word","2","Preset","TON_RISE","ReadWord","Linear11","TransportReady","Implemented","TON_RISE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 turn-on rise-time shadow; TODO bind to sequencer timing"
"0x62","TON_MAX_FAULT_LIMIT","Write Word","Read Word","2","Preset","TON_MAX_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","TON_MAX_FAULT_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 turn-on max fault limit shadow; TODO bind to startup fault detection"
"0x63","TON_MAX_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","TON_MAX_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","TON_MAX_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product startup retry behavior is platform policy"
"0x64","TOFF_DELAY","Write Word","Read Word","2","Preset","TOFF_DELAY","ReadWord","Linear11","TransportReady","Implemented","TOFF_DELAY","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 turn-off delay shadow; TODO bind to sequencer timing"
"0x65","TOFF_FALL","Write Word","Read Word","2","Preset","TOFF_FALL","ReadWord","Linear11","TransportReady","Implemented","TOFF_FALL","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 turn-off fall-time shadow; TODO bind to sequencer timing"
"0x66","TOFF_MAX_WARN_LIMIT","Write Word","Read Word","2","Preset","TOFF_MAX_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","TOFF_MAX_WARN_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 turn-off warning limit shadow; TODO bind to shutdown monitoring"
"0x68","POUT_OP_FAULT_LIMIT","Write Word","Read Word","2","Preset","POUT_OP_FAULT_LIMIT","ReadWord","Linear11","TransportReady","Implemented","POUT_OP_FAULT_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 output overpower fault threshold shadow; TODO bind to power-limit policy"
"0x69","POUT_OP_FAULT_RESPONSE","Write Byte","Read Byte","1","Preset","POUT_OP_FAULT_RESPONSE","ReadByte","RawByte","TransportReady","Implemented","POUT_OP_FAULT_RESPONSE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Response-policy byte shadow; product power-limit retry behavior is platform policy"
"0x6A","POUT_OP_WARN_LIMIT","Write Word","Read Word","2","Preset","POUT_OP_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","POUT_OP_WARN_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 output overpower warning threshold shadow; TODO bind to power-limit policy"
"0x6B","PIN_OP_WARN_LIMIT","Write Word","Read Word","2","Preset","PIN_OP_WARN_LIMIT","ReadWord","Linear11","TransportReady","Implemented","PIN_OP_WARN_LIMIT","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","LINEAR11 input overpower warning threshold shadow; TODO bind to power-limit policy"
"0x78","STATUS_BYTE","Write Byte","Read Byte","1","Preset","STATUS_BYTE","ReadByte","StatusByte","TransportReady","Implemented","STATUS_BYTE","Status shadow","ImplementedBehavior","Documented","PMBus summary byte"
"0x79","STATUS_WORD","Write Word","Read Word","2","Preset","STATUS_WORD","ReadWord","StatusWord","TransportReady","Implemented","STATUS_WORD","Status shadow","ImplementedBehavior","Documented","PMBus summary word; low byte includes STATUS_BYTE"
"0x7A","STATUS_VOUT","Write Byte","Read Byte","1","Preset","STATUS_VOUT","ReadByte","RawByte","TransportReady","Implemented","STATUS_VOUT","Status shadow","ImplementedBehavior","Documented","VOUT warning/fault bits"
